no_strat_1,no_strat_2,no_strat_3,no_strat_4,coef_1|1|1|1|1|1|1|1|1|1,coef_1|1|1|1|1|1|1|1|2,coef_1|1|1|1|1|1|1|3,coef_1|1|1|1|1|1|2|2,coef_1|1|1|1|1|1|4,coef_1|1|1|1|1|2|3,coef_1|1|1|1|1|5,coef_1|1|1|1|2|2|2,coef_1|1|1|1|2|4,coef_1|1|1|1|3|3,coef_1|1|1|1|6,coef_1|1|1|2|2|3,coef_1|1|1|2|5,coef_1|1|1|3|4,coef_1|1|1|7,coef_1|1|2|2|2|2,coef_1|1|2|2|4,coef_1|1|2|3|3,coef_1|1|2|6,coef_1|1|3|5,coef_1|1|4|4,coef_1|1|8,coef_1|2|2|2|3,coef_1|2|2|5,coef_1|2|3|4,coef_1|2|7,coef_1|3|3|3,coef_1|3|6,coef_1|4|5,coef_1|9,coef_2|2|2|2|2,coef_2|2|2|4,coef_2|2|3|3,coef_2|2|6,coef_2|3|5,coef_2|4|4,coef_2|8,coef_3|3|4,coef_3|7,coef_4|6,coef_5|5,coef_10,pwrs_1|1|1|1|1|1|1|1|1|1,pwrs_1|1|1|1|1|1|1|1|2,pwrs_1|1|1|1|1|1|1|3,pwrs_1|1|1|1|1|1|2|2,pwrs_1|1|1|1|1|1|4,pwrs_1|1|1|1|1|2|3,pwrs_1|1|1|1|1|5,pwrs_1|1|1|1|2|2|2,pwrs_1|1|1|1|2|4,pwrs_1|1|1|1|3|3,pwrs_1|1|1|1|6,pwrs_1|1|1|2|2|3,pwrs_1|1|1|2|5,pwrs_1|1|1|3|4,pwrs_1|1|1|7,pwrs_1|1|2|2|2|2,pwrs_1|1|2|2|4,pwrs_1|1|2|3|3,pwrs_1|1|2|6,pwrs_1|1|3|5,pwrs_1|1|4|4,pwrs_1|1|8,pwrs_1|2|2|2|3,pwrs_1|2|2|5,pwrs_1|2|3|4,pwrs_1|2|7,pwrs_1|3|3|3,pwrs_1|3|6,pwrs_1|4|5,pwrs_1|9,pwrs_2|2|2|2|2,pwrs_2|2|2|4,pwrs_2|2|3|3,pwrs_2|2|6,pwrs_2|3|5,pwrs_2|4|4,pwrs_2|8,pwrs_3|3|4,pwrs_3|7,pwrs_4|6,pwrs_5|5,pwrs_10
1,0,4,5,1260,280|168,105|42,30|120|6,30|6,5|30|20,5,36|12,12|4,24,,6|6|3,3,6|3,,12,2|2,4,,2,4,,3,1,1,,,,1,,,,,,,,,,,,,,1|4|5,1|4|4*1|3|5,1|4|3*1|2|5,1|4|3*1|3|4*1|2|5,1|4|2*1|1|5,1|4|2*1|3|3*1|2|4,1|4|1,1|3|3*1|2|4,1|3|2*1|1|4,1|2|3,,1|3|2*1|2|3*1|2|3,1|3|1,1|2|2*1|1|3,,1|2|3,1|2|2*1|1|3,1|2|2,,1|2|1,1|1|2,,1|2|2,1|2|1,1|1|2,,,,1|1|1,,,,,,,,,,,,,
1,1,1,7,720,336,210,120,120,60,60,24,24,24,24,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|1|1|7,1|1|1|6,1|1|1|5,1|1|1|5,1|1|1|4,1|1|1|4,1|1|1|3,1|1|1|4,1|1|1|3,1|1|1|3,1|1|1|2,1|1|1|3,1|1|1|2,1|1|1|2,1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,3,3,50400,3360|3360|1120|1120,420|420,720|240|240|240|240|80,,60|60|20|20|20|20,,144|144|48|48,,24,,12|12|12|12|4|4,,,,96,,4|4,,,,,12|12,,,,,,,,,,8,,,,,,,,,,2|2|3|3,2|2|3|2*2|2|2|3*2|1|3|3*1|2|3|3,2|2|3|1*2|2|1|3,2|2|2|2*2|1|3|2*2|1|2|3*1|2|3|2*1|2|2|3*1|1|3|3,,2|2|2|1*2|2|1|2*2|1|3|1*2|1|1|3*1|2|3|1*1|2|1|3,,2|1|2|2*1|2|2|2*1|1|3|2*1|1|2|3,,2|2|1|1,,2|1|2|1*2|1|1|2*1|2|2|1*1|2|1|2*1|1|3|1*1|1|1|3,,,,1|1|2|2,,2|1|1|1*1|2|1|1,,,,,1|1|2|1*1|1|1|2,,,,,,,,,,1|1|1|1,,,,,,,,,
2,0,1,7,720,336|16,210,120|24,120,60|10,60,24|24,24|8,24,24,6|12,6|6,6,6,16,8,4,4,,,,6,4,2,2,,,,,,,,,,,,,,,,,2|1|7,2|1|6*1|1|7,2|1|5,2|1|5*1|1|6,2|1|4,2|1|4*1|1|5,2|1|3,2|1|4*1|1|5,2|1|3*1|1|4,2|1|3,2|1|2,2|1|3*1|1|4,2|1|2*1|1|3,2|1|2,2|1|1,1|1|4,1|1|3,1|1|3,1|1|2,,,,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,,,,,,,,,,,
2,0,4,4,6300,840|840|140,210|210,30|360|30|60|60,30|30,60|60|10|10,,36|36|6|72|6,12|12|2|2,48,,6|6|12|12,,6|6,,12|24|24,2|2|4|4,8,,,4,,6|6,,2|2,,,,,,60,6|6,,,,4,,,,,,,2|4|4,2|4|3*2|3|4*1|4|4,2|4|2*2|2|4,2|4|2*2|3|3*2|2|4*1|4|3*1|3|4,2|4|1*2|1|4,2|3|2*2|2|3*1|4|2*1|2|4,,2|3|2*2|2|3*1|4|2*1|3|3*1|2|4,2|3|1*2|1|3*1|4|1*1|1|4,2|2|2,,2|2|2*2|2|2*1|3|2*1|2|3,,2|2|1*2|1|2,,2|2|2*1|3|2*1|2|3,2|2|1*2|1|2*1|3|1*1|1|3,1|2|2,,,2|1|1,,1|2|2*1|2|2,,1|2|1*1|1|2,,,,,,1|2|2,1|2|1*1|1|2,,,,1|1|1,,,,,,
2,1,1,6,5040,1680|112,840,360|120,360,120|40,120,24|72,24|24,24,24,24,12,,,16,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,2|1|1|6,2|1|1|5*1|1|1|6,2|1|1|4,2|1|1|4*1|1|1|5,2|1|1|3,2|1|1|3*1|1|1|4,2|1|1|2,2|1|1|3*1|1|1|4,2|1|1|2*1|1|1|3,2|1|1|2,2|1|1|1,1|1|1|3,1|1|1|2,,,1|1|1|3,1|1|1|2,1|1|1|2,1|1|1|1,,,,,,,,,,,,,,,,,,,,,,,
2,1,3,4,25200,3360|1680|560,840|210,120|720|240|120,120,120|60|40|10,,72|24|144,24|8,48,,6|24|12,,6,,48,8,8,,,,,6,,2,,,,,,,,,,,,,,,,,,2|1|3|4,2|1|3|3*2|1|2|4*1|1|3|4,2|1|3|2*2|1|1|4,2|1|3|2*2|1|2|3*1|1|3|3*1|1|2|4,2|1|3|1,2|1|2|2*2|1|1|3*1|1|3|2*1|1|1|4,,2|1|2|2*1|1|3|2*1|1|2|3,2|1|2|1*1|1|3|1,2|1|1|2,,2|1|1|2*1|1|2|2*1|1|1|3,,2|1|1|1,,1|1|2|2,1|1|2|1,1|1|1|2,,,,,1|1|1|2,,1|1|1|1,,,,,,,,,,,,,,,,,
2,0,2,6,2520,840|56|56,420,180|60|60|4,180,60|20|20,60,12|36|36|12,12|12|12,12,12,12|12|4,6|6,,,8|8|24,4|4|4,2|2,2|2,,,,12,4,,,,,,,40,12,4,4,,,,,,,,,2|2|6,2|2|5*2|1|6*1|2|6,2|2|4,2|2|4*2|1|5*1|2|5*1|1|6,2|2|3,2|2|3*2|1|4*1|2|4,2|2|2,2|2|3*2|1|4*1|2|4*1|1|5,2|2|2*2|1|3*1|2|3,2|2|2,2|2|1,2|1|3*1|2|3*1|1|4,2|1|2*1|2|2,,,2|1|3*1|2|3*1|1|4,2|1|2*1|2|2*1|1|3,2|1|2*1|2|2,2|1|1*1|2|1,,,,1|1|3,1|1|2,,,,,,,1|1|3,1|1|2,1|1|2,1|1|1,,,,,,,,
2,2,2,4,37800,5040|840|840|840,1260,180|360|360|60|360|60|60,180,60|60|60,,36|36|72|36|72|72|12,12|12|12,,,12|12|12,,,,24|24|24|48,4|4|4,,,,,,12,,,,,,,,120,12,,,,,,,,,,,2|2|2|4,2|2|2|3*2|2|1|4*2|1|2|4*1|2|2|4,2|2|2|2,2|2|2|2*2|2|1|3*2|1|2|3*2|1|1|4*1|2|2|3*1|2|1|4*1|1|2|4,2|2|2|1,2|2|1|2*2|1|2|2*1|2|2|2,,2|2|1|2*2|1|2|2*2|1|1|3*1|2|2|2*1|2|1|3*1|1|2|3*1|1|1|4,2|2|1|1*2|1|2|1*1|2|2|1,,,2|1|1|2*1|2|1|2*1|1|2|2,,,,2|1|1|2*1|2|1|2*1|1|2|2*1|1|1|3,2|1|1|1*1|2|1|1*1|1|2|1,,,,,,1|1|1|2,,,,,,,,1|1|1|2,1|1|1|1,,,,,,,,,,
2,0,0,8,90,56|2,42,30|4,30,20|2,20,12|6,12|2,12,12,6|4,6|2,6,6,2|8,2|4,2|2,2|2,2,2,2,6,4,2,2,,,,,10,6,4,4,2,2,2,,,,,,2|8,2|7*1|8,2|6,2|6*1|7,2|5,2|5*1|6,2|4,2|5*1|6,2|4*1|5,2|4,2|3,2|4*1|5,2|3*1|4,2|3,2|2,2|4*1|5,2|3*1|4,2|3*1|4,2|2*1|3,2|2,2|2,2|1,1|4,1|3,1|3,1|2,,,,,1|4,1|3,1|3,1|2,1|2,1|2,1|1,,,,,
