p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,-0.019694744422544715,-0.02,-0.23170481265897236
0.8033415824145772,0.19665841758704447,0.0,0.0,unstable,,,,
0.33526642138674906,0.6647335786122237,0.0,0.0,stable,,,-0.06627458001015984,-0.11823906777088797
0.0,0.02877508770779248,0.404748840927895,0.5664760713651164,unstable,,,,
0.0,0.0,1.0,0.0,na,0.02,-0.1474129788409871,,-0.21170481265897237
0.0,0.0,0.4969775491732982,0.5030224508267004,unstable,,,,
0.0,0.8350005619309823,0.0,0.1649994378876464,stable,0.0944032847533226,,0.011896039433828887,
0.0,0.0,0.3440870904673064,0.6559129095229012,stable,0.02000000000252039,0.003452109641093215,,
0.0,0.7705478951821937,0.22945210481775613,0.0,unstable,,,,
0.0,1.0,0.0,0.0,na,0.17153533173584123,,-0.061733720067779496,0.1538181970591137
0.0,0.0,0.0,1.0,na,0.19707029122392328,0.17753442319277302,0.17707029122392326,
