p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,-0.012546203338163989,-0.02,-0.19609739333045523
0.9146410986110883,0.08535890138902026,0.0,0.0,unstable,,,,
0.6049027458436267,0.0,0.0,0.39509725415637686,unstable,,,,
0.5552329775558664,0.04991038268026452,0.0,0.39485663976492835,unstable,,,,
0.0,0.0,0.6504507564216758,0.3495492435471986,unstable,,,,
0.2553173509459082,0.7446826490540669,0.0,0.0,stable,,,-0.11286200623714965,-0.06541317232946164
0.016939196758263293,0.25927946915995975,0.4977425314930643,0.22603880258871287,unstable,,,,
0.18468001545928958,0.042306405720469065,0.0,0.7730135788200995,unstable,,,,
0.030128293429251985,0.09062432857621407,0.5411911849378875,0.3380561930564959,unstable,,,,
0.22698380168412477,0.0,0.0,0.7730161983161818,stable,,-0.008371944402533638,-0.019999999999832596,
0.0,0.0,1.0,0.0,na,0.02,-0.1369284160935078,,-0.17609739333045524
0.0,0.11465156714186847,0.5642290046920027,0.3211194281649075,unstable,,,,
0.0,0.6528730986891191,0.3471269013150638,0.0,unstable,,,,
0.0,0.8617986870780111,0.0,0.1382013129225752,stable,0.037739842973987026,,-0.06066456256038222,
0.0,0.0,0.18515964674520932,0.8148403532549527,stable,0.01999999999988389,0.03566961007735092,,
0.0,1.0,0.0,0.0,na,0.13041756413638084,,-0.10574186122123186,0.13573922576991604
0.0,0.21662816074606298,0.5289633136881209,0.2544085255333145,unstable,,,,
0.0,0.0,0.0,1.0,na,0.13299591061140448,0.12438057558907722,0.11299591061140446,
