p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,-0.019114693956192894,-0.020000000000000004,-0.22598957353548232
0.8250288695492742,0.17497113045105975,0.0,0.0,unstable,,,,
0.0,0.0,0.5403757000979919,0.45962429990214615,unstable,,,,
0.3201602604145377,0.6798397395853633,0.0,0.0,stable,,,-0.0767394409924379,-0.10855517793539543
0.0,0.7438892143978257,0.25611078560143286,0.0,unstable,,,,
0.0,0.4848445447318087,0.2859848112459882,0.22917064382853933,unstable,,,,
0.0,0.0,1.0,0.0,na,0.02,-0.14566064561724515,,-0.20598957353548233
0.0,0.046665448232235354,0.46071870063023485,0.4926158511375928,unstable,,,,
0.0,0.0,0.0,1.0,na,0.18530915693272698,0.16665678972519649,0.16530915693272707,
0.0,0.0,0.29965955641019176,0.7003404435894003,stable,0.020000000000202633,0.012548761478406667,,
0.0,1.0,0.0,0.0,na,0.16607018018448472,,-0.07133451544340136,0.15293378541063518
0.0,0.8405225712884538,0.0,0.1594774287113523,stable,0.08237316076159495,,-0.003920761449102361,
