p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,0.0018628020931489176,-0.02,-0.15615324923005514
0.7037635063454499,0.0,0.0,0.29623649365302285,unstable,,,,
0.0,1.0,0.0,0.0,na,0.08114506168863211,,-0.1375692946552058,0.10948299898137182
0.9998309385254461,0.0,0.0,0.0,na,,0.0018702504943047798,-0.019982491803446988,-0.15599465160422435
0.1732228550224416,0.8267771450478456,0.0,0.0,stable,,,-0.14365053137596123,-0.014059810103548565
0.12234592630114491,0.0,0.0,0.8776540736982228,stable,,0.0139461936939973,-0.01999999999944535,
0.0,0.0,1.0,0.0,na,0.02,-0.12522860641335679,,-0.13615324923005515
0.0,0.0,0.7424650913757908,0.257534908624675,unstable,,,,
0.06408922741184002,0.8699813521084268,0.0,0.06592942047974502,unstable,,,,
0.0,0.0,0.0,1.0,na,0.07412623109009475,0.08759020030386677,0.054126231090094734,
0.0,0.5697327912027597,0.4302672087980207,0.0,unstable,,,,
0.0,0.8815016906134832,0.0,0.11849830938518303,stable,-0.005512325071908131,,-0.11030710521178211,
0.0,0.0,0.08743346593247539,0.9125665340674809,stable,0.020000000000034324,0.051911367126803554,,
