p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,0.014863153227949417,-0.02,-0.12683006025182392
0.762991901098027,0.0,0.0,0.23700809890200214,unstable,,,,
0.10771464864940798,0.8922853513482795,0.0,0.0,stable,,,-0.16074503143851188,0.02192362724862007
0.05847143804843794,0.0,0.0,0.9415285619088574,stable,,0.03380594757555311,-0.01999999995481927,
0.0,0.0,1.0,0.0,na,0.02,-0.11634960511291952,,-0.10683006025182391
0.0,0.0,0.8002898290843103,0.19971017091569915,unstable,,,,
0.0,0.0,0.0,1.0,na,0.035176279116596265,0.06858114350026834,0.015176279116596247,
0.0,0.5181064279345116,0.48189357229091984,0.0,unstable,,,,
0.0,0.8922691670599676,0.0,0.10773083294065179,stable,-0.03269598611315905,,-0.13809989275476475,
0.0,1.0,0.0,0.0,na,0.04701016500746935,,-0.15671912261631976,0.0929657445919213
0.0,0.0,0.024850213129121952,0.9751497868709132,stable,0.02000000000008284,0.05970475392762775,,
