p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,0.13202664848193546,-0.02,0.08520585212831733
0.0,0.0,0.0,1.0,na,-0.196583873500764,0.014948089713426094,-0.21658387350076402,
0.0,1.0,0.0,0.0,na,-0.14390508643576494,,-0.2581816823590129,0.05013115132054613
0.0,0.8722719630220909,0.0,0.12772803686475803,stable,-0.21247871421903863,,-0.266320547037117,
0.0,0.17690170972209573,0.8230982902703209,0.0,unstable,,,,
0.0,0.0,1.0,0.0,na,0.02,-0.04083325208597552,,0.10520585212831733
