p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,-0.01680495368106578,-0.02,-0.212643849864545
0.8683024771205619,0.13169752340424543,0.0,0.0,unstable,,,,
0.0,0.0,0.0,1.0,na,0.1605687544825034,0.1454413177186059,0.1405687544825034,
0.5438839592510862,0.0,0.0,0.4561160405179002,unstable,,,,
0.2896728924680624,0.710327107531881,0.0,0.0,stable,,,-0.09534990658816489,-0.08833529845462074
0.03603576528606768,0.06315792142921675,0.4888083133317604,0.4119979999529575,unstable,,,,
0.4501822981432699,0.09419273333340902,0.0,0.45562496852419626,unstable,,,,
0.0,0.0,0.599799392561917,0.400200607438319,unstable,,,,
0.013587940220214529,0.34457247472640434,0.42264470416613553,0.2191948808872348,unstable,,,,
0.0,0.0,1.0,0.0,na,0.02,-0.14172345015239013,,-0.192643849864545
0.29045252413787137,0.0,0.0,0.709547475862125,stable,,-0.015022481454863734,-0.020000000000001905,
0.0,0.32185294744300075,0.44232483994891636,0.23582221260809927,unstable,,,,
0.2003435131607589,0.09007855084835689,0.0,0.7095779359871246,unstable,,,,
0.0,1.0,0.0,0.0,na,0.15086745479397412,,-0.08876448620053268,0.1464896414903497
0.0,0.851123578026576,0.0,0.14887642196218587,stable,0.060031542242351965,,-0.032851222852662176,
0.0,0.697213380572882,0.30278661941826107,0.0,unstable,,,,
0.0,0.0,0.23815842877861443,0.7618415712213868,stable,0.01999999999999913,0.02526902942786946,,
0.0,0.06788441164773425,0.5266522909617813,0.40546329739048376,unstable,,,,
