p_D*,p_C*,p_L*,p_U*,stability,inv_fit_D,inv_fit_C,inv_fit_L,inv_fit_U
1.0,0.0,0.0,0.0,na,,-0.01920223500018474,-0.02,-0.2267029662197601
0.8224676385275634,0.1775323616675667,0.0,0.0,unstable,,,,
0.0,0.0,0.536056920758086,0.46394307924191414,unstable,,,,
0.32194387845600575,0.6780561215435184,0.0,0.0,stable,,,-0.07554933600183816,-0.1097151736085438
0.0,0.0,1.0,0.0,na,0.02,-0.14587594053949904,,-0.20670296621976011
0.0,0.5306635873147877,0.2447865160196347,0.22454989665055958,unstable,,,,
0.0,0.045264821862328844,0.4554466235470844,0.4992885545596983,unstable,,,,
0.0,0.0,0.0,1.0,na,0.18672723292504934,0.16794145507127844,0.16672723292504943,
0.0,1.0,0.0,0.0,na,0.1668044909211449,,-0.07023655803493789,0.15314043251540188
0.0,0.7468956439957042,0.2531043560042959,0.0,unstable,,,,
0.0,0.7752805250090089,0.04699717106468969,0.17772230392630375,unstable,,,,
0.0,0.8398767035446981,0.0,0.16012329645530118,stable,0.08376000789155069,,-0.002102219071997591,
0.0,0.6404488411859646,0.15200642498192785,0.20754473383226318,stable,0.024954619156905555,,,
0.0,0.0,0.3040998763237509,0.695900123676249,stable,0.020000000000000018,0.01162677138696755,,
